Processor,Transistor count,Year,Designer,Process ( nm ),Area ( mm 2 ),Transistor density (tr./mm 2 ),Type
NV20,"57,000,000",2001,Nvidia,150 nm,128 mm2,"445,000",GPU
NV25,"63,000,000",2002,Nvidia,150 nm,142 mm2,"444,000",GPU
NV28,"36,000,000",2002,Nvidia,150 nm,101 mm2,"356,000",GPU
NV30,"125,000,000",2003,Nvidia,130 nm,199 mm2,"628,000",GPU
NV31,"80,000,000",2003,Nvidia,130 nm,121 mm2,"661,000",GPU
NV34,"45,000,000",2003,Nvidia,150 nm,124 mm2,"363,000",GPU
NV34b,"45,000,000",2004,Nvidia,140 nm,91 mm2,"495,000",GPU
NV35/38,"135,000,000",2003,Nvidia,130 nm,207 mm2,"652,000",GPU
NV36,"82,000,000",2003,Nvidia,130 nm,133 mm2,"617,000",GPU
NV40,"222,000,000",2004,Nvidia,130 nm,305 mm2,"727,900",GPU
NV41,"222,000,000",2005,Nvidia,110 nm,225 mm2,"986,700",GPU
NV42,"198,000,000",2005,Nvidia,110 nm,222 mm2,"891,900",GPU
NV43,"146,000,000",2005,Nvidia,110 nm,154 mm2,"948,100",GPU
NV44,"75,000,000",2004,Nvidia,130 nm,110 mm2,"681,800",GPU
Oland GCN1,"1,040,000,000",2013,AMD,28 nm,90 mm2,"11,560,000",GPU
Pitcairn GCN1,"2,800,000,000",2012,AMD,28 nm,212 mm2,"13,210,000",GPU
PowerVR,"1,200,000",1996,VideoLogic,350 nm,?,?,GPU
PowerVR2 CLX2,"10,000,000",1998,VideoLogic,250 nm,116 mm2,"86,200",GPU
PowerVR2 PMX1,"6,000,000",1999,VideoLogic,250 nm,?,?,GPU
PowerVR3 KYRO,"14,000,000",2001,Imagination,250 nm,?,?,GPU
PowerVR3 KYRO II,"15,000,000",2001,Imagination,180 nm,?,?,GPU
R100,"30,000,000",2000,ATI,180 nm,97 mm2,"309,000",GPU
R200,"60,000,000",2001,ATI,150 nm,68 mm2,"882,000",GPU
R300,"107,000,000",2002,ATI,150 nm,218 mm2,"490,800",GPU
R360,"117,000,000",2003,ATI,150 nm,218 mm2,"536,700",GPU
R480,"160,000,000",2004,ATI,130 nm,297 mm2,"538,700",GPU
R520,"321,000,000",2005,ATI,90 nm,288 mm2,"1,115,000",GPU
R580,"384,000,000",2006,ATI,90 nm,352 mm2,"1,091,000",GPU
